SupplyChain,LT,SafetyStock,TotalStock
1,stochastic,8351,34685
1,mean,946,27280
1,max,1054,36584
3,stochastic,15744,67467
3,mean,5004,56728
3,max,5546,70703
5,stochastic,1043257,5243511
5,mean,630507,4830762
5,max,678482,553529
6,stochastic,50062,1529310
6,mean,805,1462215
6,max,864,1540772
7,stochastic,363,2441
7,mean,265,2324
7,max,279,2548
8,stochastic,46030,882300
8,mean,41180,846706
8,max,40050,889123
9,stochastic,385497,3734300
9,mean,106308,3455110
9,max,113757,3553338
10,stochastic,4890,36606
10,mean,3939,35637
10,max,4024,37244
11,stochastic,490,2891
11,mean,402,2795
11,max,442,3227
12,stochastic,1511516,11534298
12,mean,1255293,11176331
12,max,1264372,11836550
14,stochastic,6002,650272
14,mean,2926,645620
14,max,3237,651662
15,stochastic,77500,2459510
15,mean,511227,2195727
15,max,580678,2732540
