stage_id,lead_time,max_s_time,cost_rate,risk_pool,ext_demand_mean,ext_demand_std,ext_demand_thres,up_stages
Dist_0001,6,,1.49,2,,,,Manuf_0001,1
Dist_0002,6,,1.11,2,,,,Manuf_0002,1
Dist_0003,6,,0.95,2,,,,Manuf_0003,1
Dist_0004,6,,1.59,2,,,,Manuf_0004,1
Dist_0005,6,,1.6,2,,,,Manuf_0005,1
Dist_0006,6,,1.17,2,,,,Manuf_0006,1
Dist_0007,6,,1.24,2,,,,Manuf_0007,1
Dist_0008,6,,0.87,2,,,,Manuf_0008,1
Dist_0009,6,,1.73,2,,,,Manuf_0009,1
Dist_0010,6,,1.32,2,,,,Manuf_0010,1
Dist_0011,6,,1.39,2,,,,Manuf_0011,1
Dist_0012,6,,1.2,2,,,,Manuf_0012,1
Dist_0013,6,,1.44,2,,,,Manuf_0013,1
Dist_0014,6,,1.5,2,,,,Manuf_0014,1
Dist_0015,4,,0.51,2,,,,Manuf_0015,1
Dist_0016,4,,0.38,2,,,,Manuf_0016,1
Dist_0017,4,,0.31,2,,,,Manuf_0017,1
Dist_0018,4,,0.4,2,,,,Manuf_0018,1
Dist_0019,4,,0.35,2,,,,Manuf_0019,1
Dist_0020,4,,0.54,2,,,,Manuf_0020,1
Dist_0021,4,,0.26,2,,,,Manuf_0021,1
Dist_0022,4,,0.49,2,,,,Manuf_0022,1
Dist_0023,4,,0.37,2,,,,Manuf_0023,1
Dist_0024,4,,0.34,2,,,,Manuf_0024,1
Dist_0025,4,,0.37,2,,,,Manuf_0025,1
Dist_0026,4,,0.43,2,,,,Manuf_0026,1
Dist_0027,4,,0.4,2,,,,Manuf_0027,1
Dist_0028,4,,0.38,2,,,,Manuf_0028,1
Manuf_0001,8,,4.19,2,,,,Part_0001,1,Part_0002,1,Part_0003,1
Manuf_0002,8,,4.55,2,,,,Part_0001,1,Part_0002,1,Part_0003,1
Manuf_0003,8,,5.06,2,,,,Part_0001,1,Part_0003,1,Part_0004,1
Manuf_0004,8,,5.17,2,,,,Part_0001,1,Part_0003,1,Part_0004,1
Manuf_0005,8,,3.66,2,,,,Part_0001,1,Part_0004,1,Part_0005,1
Manuf_0006,8,,6.3,2,,,,Part_0001,1,Part_0004,1,Part_0005,1
Manuf_0007,8,,4.05,2,,,,Part_0001,1,Part_0005,1,Part_0006,1
Manuf_0008,8,,6.2,2,,,,Part_0001,1,Part_0005,1,Part_0006,1
Manuf_0009,8,,2.79,2,,,,Part_0001,1,Part_0007,1
Manuf_0010,8,,5.44,2,,,,Part_0001,1,Part_0007,1
Manuf_0011,8,,4.54,2,,,,Part_0001,1,Part_0008,1,Part_0009,1
Manuf_0012,8,,5.19,2,,,,Part_0001,1,Part_0008,1,Part_0009,1
Manuf_0013,8,,3.59,2,,,,Part_0001,1,Part_0010,1,Part_0011,1
Manuf_0014,8,,3.26,2,,,,Part_0001,1,Part_0010,1,Part_0011,1
Manuf_0015,8,,2.81,2,,,,Part_0001,1,Part_0012,1,Part_0013,1
Manuf_0016,8,,4.21,2,,,,Part_0001,1,Part_0012,1,Part_0013,1
Manuf_0017,8,,5.24,2,,,,Part_0001,1,Part_0012,1,Part_0014,1
Manuf_0018,8,,5.25,2,,,,Part_0001,1,Part_0012,1,Part_0014,1
Manuf_0019,8,,3.92,2,,,,Part_0001,1,Part_0014,1,Part_0015,1
Manuf_0020,8,,2.89,2,,,,Part_0001,1,Part_0014,1,Part_0015,1
Manuf_0021,8,,5.29,2,,,,Part_0001,1,Part_0015,1,Part_0016,1
Manuf_0022,8,,6.15,2,,,,Part_0001,1,Part_0015,1,Part_0016,1
Manuf_0023,8,,5.2,2,,,,Part_0001,1,Part_0017,1
Manuf_0024,8,,5.41,2,,,,Part_0001,1,Part_0017,1
Manuf_0025,8,,4.79,2,,,,Part_0001,1,Part_0018,1,Part_0019,1
Manuf_0026,8,,5.77,2,,,,Part_0001,1,Part_0018,1,Part_0019,1
Manuf_0027,8,,4.96,2,,,,Part_0001,1,Part_0020,1,Part_0021,1
Manuf_0028,8,,4.59,2,,,,Part_0001,1,Part_0020,1,Part_0021,1
Part_0001,12,,0.54,2,,,
Part_0002,10,,0.18,2,,,
Part_0003,12,,2.84,2,,,
Part_0004,10,,0.2,2,,,
Part_0005,12,,2.77,2,,,
Part_0006,10,,0.2,2,,,
Part_0007,10,,0.15,2,,,
Part_0008,12,,4.22,2,,,
Part_0009,10,,0.22,2,,,
Part_0010,10,,0.15,2,,,
Part_0011,12,,6.49,2,,,
Part_0012,12,,2.9,2,,,
Part_0013,10,,0.26,2,,,
Part_0014,10,,0.17,2,,,
Part_0015,12,,4.55,2,,,
Part_0016,10,,0.15,2,,,
Part_0017,10,,0.13,2,,,
Part_0018,10,,0.29,2,,,
Part_0019,12,,3.64,2,,,
Part_0020,12,,7.44,2,,,
Part_0021,7,,0.27,2,,,
Retail_0001,0,0,0.0,,889.41,501.15,1.812,Manuf_0001,1
Retail_0002,0,0,0.0,,858.93,766.47,1.812,Manuf_0002,1
Retail_0003,0,0,0.0,,1197.12,513.64,1.812,Manuf_0003,1
Retail_0004,0,0,0.0,,1163.51,778.87,1.812,Manuf_0004,1
Retail_0005,0,0,0.0,,642.5,777.17,1.812,Manuf_0005,1
Retail_0006,0,0,0.0,,807.66,827.73,1.812,Manuf_0006,1
Retail_0007,0,0,0.0,,1268.67,488.71,1.812,Manuf_0007,1
Retail_0008,0,0,0.0,,1007.56,613.09,1.812,Manuf_0008,1
Retail_0009,0,0,0.0,,552.38,1052.4,1.812,Manuf_0009,1
Retail_0010,0,0,0.0,,552.86,380.19,1.812,Manuf_0010,1
Retail_0011,0,0,0.0,,789.61,567.59,1.812,Manuf_0011,1
Retail_0012,0,0,0.0,,690.35,443.86,1.812,Manuf_0012,1
Retail_0013,0,0,0.0,,549.08,540.1,1.812,Manuf_0013,1
Retail_0014,0,0,0.0,,848.28,562.84,1.812,Manuf_0014,1
Retail_0015,0,0,0.0,,1358.44,393.56,1.812,Manuf_0015,1
Retail_0016,0,0,0.0,,977.82,754.65,1.812,Manuf_0016,1
Retail_0017,0,0,0.0,,2282.8,993.74,1.812,Manuf_0017,1
Retail_0018,0,0,0.0,,974.67,763.84,1.812,Manuf_0018,1
Retail_0019,0,0,0.0,,817.76,934.4,1.812,Manuf_0019,1
Retail_0020,0,0,0.0,,1008.14,512.13,1.812,Manuf_0020,1
Retail_0021,0,0,0.0,,962.22,1395.8,1.812,Manuf_0021,1
Retail_0022,0,0,0.0,,1914.94,1031.77,1.812,Manuf_0022,1
Retail_0023,0,0,0.0,,647.35,394.85,1.812,Manuf_0023,1
Retail_0024,0,0,0.0,,479.97,698.34,1.812,Manuf_0024,1
Retail_0025,0,0,0.0,,992.18,608.03,1.812,Manuf_0025,1
Retail_0026,0,0,0.0,,810.2,1080.33,1.812,Manuf_0026,1
Retail_0027,0,0,0.0,,737.0,1042.86,1.812,Manuf_0027,1
Retail_0028,0,0,0.0,,1119.77,509.17,1.812,Manuf_0028,1
Retail_0029,0,0,0.0,,420.1,1102.82,1.812,Dist_0001,1
Retail_0030,0,0,0.0,,545.52,487.26,1.812,Dist_0002,1
Retail_0031,0,0,0.0,,435.79,598.25,1.812,Dist_0003,1
Retail_0032,0,0,0.0,,597.66,288.04,1.812,Dist_0004,1
Retail_0033,0,0,0.0,,457.19,692.08,1.812,Dist_0005,1
Retail_0034,0,0,0.0,,420.5,739.98,1.812,Dist_0006,1
Retail_0035,0,0,0.0,,439.6,1114.71,1.812,Dist_0007,1
Retail_0036,0,0,0.0,,580.57,225.59,1.812,Dist_0008,1
Retail_0037,0,0,0.0,,1022.92,733.32,1.812,Dist_0009,1
Retail_0038,0,0,0.0,,415.3,463.53,1.812,Dist_0010,1
Retail_0039,0,0,0.0,,446.75,768.38,1.812,Dist_0011,1
Retail_0040,0,0,0.0,,443.76,769.27,1.812,Dist_0012,1
Retail_0041,0,0,0.0,,424.31,278.07,1.812,Dist_0013,1
Retail_0042,0,0,0.0,,434.09,587.15,1.812,Dist_0014,1
Retail_0043,0,0,0.0,,427.64,1430.89,1.812,Dist_0015,1
Retail_0044,0,0,0.0,,433.93,780.54,1.812,Dist_0016,1
Retail_0045,0,0,0.0,,444.07,1415.42,1.812,Dist_0017,1
Retail_0046,0,0,0.0,,447.65,879.75,1.812,Dist_0018,1
Retail_0047,0,0,0.0,,417.71,1242.32,1.812,Dist_0019,1
Retail_0048,0,0,0.0,,426.24,1128.96,1.812,Dist_0020,1
Retail_0049,0,0,0.0,,450.41,802.17,1.812,Dist_0021,1
Retail_0050,0,0,0.0,,436.46,897.91,1.812,Dist_0022,1
Retail_0051,0,0,0.0,,413.27,1075.33,1.812,Dist_0023,1
Retail_0052,0,0,0.0,,410.29,848.19,1.812,Dist_0024,1
Retail_0053,0,0,0.0,,431.97,1248.01,1.812,Dist_0025,1
Retail_0054,0,0,0.0,,421.35,1146.92,1.812,Dist_0026,1
Retail_0055,0,0,0.0,,421.5,872.73,1.812,Dist_0027,1
Retail_0056,0,0,0.0,,432.28,1456.05,1.812,Dist_0028,1
